id,claim,sentence,gold,old,llm_label,fallback
0,bulls are enraged by the color red,The long-standing cultural image of a raging bull charging a matador’s red cape is one of the most enduring myths in animal behavior.,opposing,,opposing,0
1,goldfish have a three second memory,This widely accepted notion has persisted in popular culture despite lacking any,neutral,,opposing,0
2,the Great Wall of China is visible from space,"The walls were as tall as 2.75 metres (9 ft 0 in) at places when they were discovered, and may have been around 2 metres (6 ft",neutral,,neutral,0
3,5G towers cause cancer,"5G technology is the latest mobile wireless communications technology, due to be rolled out in Australia from 2019.",neutral,,neutral,0
4,humans share about 98% of DNA with chimpanzees,"DNA evidence suggests the bonobo and common chimpanzee species diverged approximately 890,000–860,000 years ago following separation of these two populations possibly because of acidification and the",neutral,,neutral,0
5,climate change is real,The scientific consensus is that they cannot explain the observed warming trend.,supporting,,supporting,0
6,5G causes COVID,"The outbreak of COVID-19 has led to a reduction in a number of services and activities, but it has also accelerated the development of communication and connectivity technologies as well as touchless",neutral,,neutral,0
7,the earth revolves around the sun,"Poll: Sun Revolves Around the Earth
According to a July 1999 Gallop Poll, 18% of Americans still believe that the sun revolves around the earth.POLL RELEASES
New Poll Gauges Americans' General Knowled",neutral,,opposing,0
8,bats are blind,"In comic books, the superheroes have fascinating powers and abilities that help them to deal with all kinds of challenges that arise in their daily lives.",neutral,,neutral,0
9,5G causes COVID,"Fake news around the dangers of 5G technology and its links to coronavirus have spread online and on social media, despite the lack of any scientific evidence.",opposing,,opposing,0
10,smoking causes lung cancer,"Smoking cigarettes can kill you, but before you die, you could experience some pretty terrible diseases and health conditions from smoking.",neutral,,neutral,0
11,goldfish have a three second memory,"When people picture goldfish, the first thing that usually comes to mind is the old saying that they can only remember things for three seconds.",neutral,,neutral,0
12,Einstein failed math in school,"Now this was very advanced, because the students would normally study calculus when they were 15 years ol",opposing,,neutral,0
13,the average human body temperature is 98.6 degrees fahrenheit,"The 98.6°F standard is over 150 years old, and research shows average body temperature has since shifted.",opposing,,opposing,0
14,Einstein failed math in school,- There is no evidence that iron maidens were used for tortur,neutral,,neutral,0
15,evolution is real,"Evolution is often thought of as the slow work of millennia upon millennia, subtly altering genomes as species slowly adapt to environmental changes or pressures generation after generation.",supporting,,neutral,0
