id,claim,sentence,your_label
0,remote work is more productive than office work,"Mouse shuffle
[edit] The ""mouse shuffle"" refers to someone continuously moving their computer mouse around to keep their screen active, giving them the appearance of being at work.",
1,raising the minimum wage reduces overall employment,"However, there is no evidence that state minimum wage laws do so.""",
2,the average human body temperature is 98.6 degrees fahrenheit,"He then re-calibrated his scale using the melting point of ice and normal human body temperature (which were at 30 and 90 degrees); he adjusted the scale so that the melting point of ice would be 32 degrees, and body temperature 96 degrees, so that 64 intervals would separate the two, allowing him to mark degree lines on his instruments by simply bisecting the interval 6 times (since 64 = 26).",
3,msg is dangerous to consume,"The FDA labels all products with the additive MSG, but does not label products that have naturally occurring MSG.",
4,coffee stunts a child's growth,"However, there is no evidence that drinking coffee has any effect on height.",
5,napoleon bonaparte was unusually short for his era,"According to historian Martyn Lyons, Napoleon “was a short man, even by the standards of the day” (1994, 1).",
6,iron is attracted to magnets,The molten iron doesn't react to the magnet—it's only when the iron has cooled that anything seems to happen.,
7,immigration is good for the economy,"A study done by the IZA Journal of Development and Migration found that between 1991 and 2006, Canadian-educated immigrants and foreign-educated immigrants found that Canadian-educated immigrants who graduated from university had a large earnings gap with their Canadian-born counterparts both in the initial years after immigration and in the long run.",
8,humans evolved directly from modern chimpanzees,"In human genetic studies, the CHLCA is useful as an anchor point for calculating single-nucleotide polymorphism (SNP) rates in human populations where chimpanzees are used as an outgroup, that is, as the extant species most genetically similar to Homo sapiens.",
9,light from the sun takes about eight minutes to reach earth,"It can take them thousands or even tens of thousands of years to reach the surface of the Sun, before they embark on their 8m 20s journey to Earth.",
10,whales are mammals rather than fish,"These animals are found in every ocean, but this doesn't mean whales are fish.",
11,climate change is real,"The findings from existing literature indicate that AI has significantly improved predictive capacity, operational efficiency, and adaptive planning in climate-related contexts.",
12,vaccines cause autism,"Even with the overwhelming evidence that vaccines are safe and effective, some parents still decide not to have their children vaccinated or to delay ...",
13,college education is worth the cost,Some 47% say the cost is worth it only if someone doesn’t have to take out loans.,
14,humans only use 10 percent of their brain,"Neuroscience
Beyond the Myth That We Use Only 10 Percent of Our Brains
Your whole brain is always at work.",
15,ai will replace most jobs,"In India, AI is expected to bring both major opportunities and significant challenges.",
16,the sahara region was green and vegetated thousands of years ago,"Research published in PLOS One dated a complex burial ritual involving cattle on the Messak plateau to roughly 5,200 to 3,800 BC, right in the heart of the green period.",
17,working from home improves work-life balance,"Researchers polled 1,000 remote and hybrid employees in the U.S. about their productivity, wellness and other life facets.",
18,jupiter is the largest planet in the solar system,"Size and mass
Jupiter is about eleven times wider than the Earth (11.208 R🜨); while its mass is 318 times that of Earth which is 2.5 times the mass of all the other planets in the Solar System combined.",
19,sugar makes children hyperactive,Numerous placebo-controlled studies have demonstrated sugar does not significantly impact children’s behaviour or attention span.,
20,online learning is as effective as in-person learning,"Blending the Best of Both Worlds
For educators, there are lots of easy ways to integrate the best aspects of both in-person and online learning modalities.",
21,napoleon bonaparte was unusually short for his era,"One artist's cartoons changed history's perception forever
The myth about Napoleon's short stature can be traced largely to one source: British propaganda.",
22,lebron james is the greatest basketball player of all time,"He has passed Abdul-Jabbar and is more than 11,000 points ahead of any active player behind him.",
23,social media is harmful to mental health,Findings: The results of the study indicated that social media addiction has widespread negative effects on students' mental health.,
24,people are either left-brained or right-brained,"Doi: 10.1371/journal.pone.0071275
- Rogers M (2013) Researchers debunk myth of “right brain” and “left –brain” personality traits.",
25,plant-based diets are healthier than diets that include meat,"In the case of vegetarians and vegans, restrictive eating has been linked with a higher risk for depressive symptoms (meta-analysis of n ~50k participants21).",
26,octopuses have three hearts,"While a ‘systemic’ heart supplies the animal’s body, two ‘branchial’ hearts supply each of the two gills where the blood is oxygenated.",
27,humans only have five senses,"Most research around these two are focused on the instrument, the listener, and the player of the instrument.",
28,the amazon rainforest produces about 20% of the world's oxygen,"It provides 20% of the oxygen for the entire planet,"" CNN anchor Robyn Curnow said.",
29,swallowed chewing gum stays in your stomach for seven years,"If you swallow gum, rest assured that it won’t take seven years to digest.",
30,whales are mammals rather than fish,"Since they are mammals, they give birth to live young.",
31,climate change is caused by human activity,"About two-in-ten Republicans and Republican leaners (21%) say the same, a difference of 54 percentage points.",
32,immigration is good for the economy,Germany’s economy is creating jobs faster than the natives can fill them.,
33,daylight saving time should be abolished,"Researchers found that switching to permanent Standard Time was predicted to reduce cases of obesity by 2.6 million cases and stroke by 300,000 cases.",
34,a four-day work week increases overall productivity,- Compressed Hours – Employees work the same total hours as in a five-day week but over four longer days.,
35,sunflowers track the sun across the sky throughout their lives,The scientists discovered that the plants' stems allow them to track the sun.,
36,antibiotics do not work against viruses,"However, antibiotics are among the drugs that have been studied for possible antiviral activities.",
37,tipping should be abolished in restaurants,The reason was clear on reflection: Servers experienced an hourly wage drop from a range of $35-$45 to $20-$35.,
38,light from the sun takes about eight minutes to reach earth,"In 1666, Isaac Newton observed the Sun's light using a prism, and showed that it is made up of light of many colours.",
39,remote work is more productive than office work,"""The 'Mouse Shuffle,' A 2024 Workplace Trend, Has Employers Scratching Their Heads"".",
40,hair and fingernails continue to grow after death,Essential fatty acids play a large role in healthy skin as well as nails.,
41,diamonds are made of carbon,"It’s here, over billions of years, that carbon atoms fuse and crystallize into the structures we recognize as diamonds .",
42,honeybees communicate the location of food through a waggle dance,"The Science Behind the Dance
The waggle dance has been studied extensively by scientists, with groundbreaking research conducted by Nobel laureate Karl von Frisch in the 20th century.",
43,light from the sun takes about eight minutes to reach earth,"Similarly, if the Sun were to suddenly vanish, the Earth would remain bathed in its light for another 8 minutes and 20 seconds before experiencing darkness.",
