source_text,claim,label,pattern
"The notion that the Bermuda Triangle causes ships to disappear has persisted in popular culture for decades, inspiring numerous books and documentaries.",the Bermuda Triangle causes ships to disappear,1,reporting_frame
The widely held belief that cracking your knuckles causes arthritis has been a source of concern for many people.,cracking your knuckles causes arthritis,1,reporting_frame
The popular idea that humans swallow eight spiders per year in their sleep has become one of the most shared facts on the internet.,humans swallow eight spiders per year in their sleep,1,reporting_frame
The common perception that Napoleon Bonaparte was unusually short has been referenced in countless historical discussions and pop culture.,Napoleon was short,1,reporting_frame
The longstanding belief that bulls are enraged by the color red has shaped traditions like bullfighting for centuries.,bulls are enraged by the color red,1,reporting_frame
The widespread notion that bats are completely blind has made them a symbol of poor eyesight in many cultures.,bats are blind,1,reporting_frame
The prevailing assumption that breakfast is the most important meal of the day has influenced dietary guidelines worldwide.,breakfast is the most important meal of the day,1,reporting_frame
The popular conception that lightning never strikes the same place twice is frequently cited as common knowledge.,lightning never strikes the same place twice,1,reporting_frame
The myth that you lose most of your body heat through your head has been thoroughly debunked by thermal imaging studies.,you lose most body heat through your head,2,reporting_frame
The common misconception that chameleons change color to match their surroundings has been corrected by biologists who study these reptiles.,chameleons change color to match their surroundings,2,reporting_frame
"The persistent myth that Einstein failed mathematics in school is contradicted by his actual academic records, which show excellent grades.",Einstein failed math in school,2,reporting_frame
The widespread misconception that Vikings wore horned helmets has no archaeological basis and originated from 19th-century artistic depictions.,Vikings wore horned helmets,2,reporting_frame
The popular myth that touching a baby bird will cause its mother to abandon it has been repeatedly debunked by ornithologists.,touching a baby bird makes its mother abandon it,2,reporting_frame
The enduring myth that shaving causes hair to grow back thicker and darker has been disproved by multiple dermatological studies.,shaving makes hair grow back thicker,2,reporting_frame
The misconception that dogs can only see in black and white was overturned when researchers discovered that canines have two types of color receptors.,dogs can only see in black and white,2,reporting_frame
The common myth that ostriches bury their heads in the sand when frightened is not supported by any observed behavior in the wild.,ostriches bury their heads in the sand,2,reporting_frame
