id,claim,sentence,deberta_label,deberta_conf,old_llm_label,direction
0,bulls are enraged by the color red,The long-standing cultural image of a raging bull charging a matador’s red cape is one of the most enduring myths in animal behavior.,neutral,0.76,opposing,undercall_opposing
1,goldfish have a three second memory,This widely accepted notion has persisted in popular culture despite lacking any,opposing,0.93,neutral,forced_opposing
2,the Great Wall of China is visible from space,"The walls were as tall as 2.75 metres (9 ft 0 in) at places when they were discovered, and may have been around 2 metres (6 ft",opposing,0.7,neutral,forced_opposing
3,5G towers cause cancer,"5G technology is the latest mobile wireless communications technology, due to be rolled out in Australia from 2019.",opposing,0.82,neutral,forced_opposing
4,humans share about 98% of DNA with chimpanzees,"DNA evidence suggests the bonobo and common chimpanzee species diverged approximately 890,000–860,000 years ago following separation of these two populations possibly because of acidification and the",opposing,0.85,neutral,forced_opposing
5,climate change is real,The scientific consensus is that they cannot explain the observed warming trend.,neutral,0.93,supporting,undercall_supporting
6,5G causes COVID,"The outbreak of COVID-19 has led to a reduction in a number of services and activities, but it has also accelerated the development of communication and connectivity technologies as well as touchless",opposing,0.99,neutral,forced_opposing
7,the earth revolves around the sun,"Poll: Sun Revolves Around the Earth
According to a July 1999 Gallop Poll, 18% of Americans still believe that the sun revolves around the earth.POLL RELEASES
New Poll Gauges Americans' General Knowled",opposing,0.73,neutral,forced_opposing
8,bats are blind,"In comic books, the superheroes have fascinating powers and abilities that help them to deal with all kinds of challenges that arise in their daily lives.",opposing,0.87,neutral,forced_opposing
9,5G causes COVID,"Fake news around the dangers of 5G technology and its links to coronavirus have spread online and on social media, despite the lack of any scientific evidence.",neutral,0.86,opposing,undercall_opposing
10,smoking causes lung cancer,"Smoking cigarettes can kill you, but before you die, you could experience some pretty terrible diseases and health conditions from smoking.",neutral,1.0,supporting,undercall_supporting
11,goldfish have a three second memory,"When people picture goldfish, the first thing that usually comes to mind is the old saying that they can only remember things for three seconds.",supporting,0.6,neutral,forced_supporting
12,Einstein failed math in school,"Now this was very advanced, because the students would normally study calculus when they were 15 years ol",opposing,0.93,neutral,forced_opposing
13,the average human body temperature is 98.6 degrees fahrenheit,"The 98.6°F standard is over 150 years old, and research shows average body temperature has since shifted.",neutral,0.8,opposing,undercall_opposing
14,Einstein failed math in school,- There is no evidence that iron maidens were used for tortur,opposing,0.63,neutral,forced_opposing
15,evolution is real,"Evolution is often thought of as the slow work of millennia upon millennia, subtly altering genomes as species slowly adapt to environmental changes or pressures generation after generation.",neutral,0.79,supporting,undercall_supporting
