claim,category,expected_verdict,num_sources,num_sentences,sent_supporting,sent_neutral,sent_opposing,hc_supporting,hc_neutral,hc_opposing,source_supporting,source_opposing,source_mixed,judgeable_sents,mismatches,mismatch_rate_pct
honey never expires,factual_true,strongly supported,11,81,11,27,43,7,21,33,11,0,0,81,43,53.1
the speed of light is constant,factual_true,strongly supported,24,272,23,157,92,18,125,67,24,0,0,272,92,33.8
antibiotics do not work against viruses,factual_true,strongly supported,30,312,24,202,86,18,161,64,30,0,0,312,86,27.6
the sun is a star,factual_true,strongly supported,15,177,41,88,48,22,47,26,15,0,0,177,48,27.1
eating carrots improves your eyesight,factual_false,strongly opposed,16,153,18,125,10,9,117,7,0,16,0,153,18,11.8
water boils at 100 degrees celsius,factual_true,strongly supported,15,91,10,72,9,10,68,9,15,0,0,91,9,9.9
you lose most body heat through your head,factual_false,strongly opposed,13,122,11,96,15,9,89,11,0,13,0,122,11,9.0
the earth revolves around the sun,factual_true,strongly supported,17,126,33,83,10,26,66,7,17,0,0,126,10,7.9
the moon landing was faked,factual_false,strongly opposed,22,115,9,91,15,4,82,9,0,22,0,115,9,7.8
lemmings commit mass suicide,factual_false,strongly opposed,9,114,6,76,32,4,57,22,0,9,0,114,6,5.3
the Amazon rainforest produces about 20% of the world's oxygen,factual_false,strongly opposed,18,157,8,143,6,6,136,6,0,18,0,157,8,5.1
octopuses have three hearts,factual_true,strongly supported,17,162,15,139,8,15,134,3,17,0,0,162,8,4.9
the earth is flat,factual_false,strongly opposed,19,170,8,92,70,5,74,57,0,19,0,170,8,4.7
the great wall of china is visible from space,factual_false,strongly opposed,17,211,10,158,43,7,147,35,0,17,0,211,10,4.7
christopher columbus discovered america,factual_false,strongly opposed,19,175,8,154,13,5,141,7,0,19,0,175,8,4.6
humans share about 98% of DNA with chimpanzees,factual_true,strongly supported,17,217,16,191,10,15,182,6,17,0,0,217,10,4.6
the Great Wall of China is visible from space,factual_false,strongly opposed,16,109,5,93,11,3,89,9,0,16,0,109,5,4.6
