id,claim,sentence,your_label,is_truncated
0,bulls are enraged by the color red,The long-standing cultural image of a raging bull charging a matador’s red cape is one of the most enduring myths in animal behavior.,opposing,no
1,goldfish have a three second memory,This widely accepted notion has persisted in popular culture despite lacking any,neutral,yes
2,the Great Wall of China is visible from space,"The walls were as tall as 2.75 metres (9 ft 0 in) at places when they were discovered, and may have been around 2 metres (6 ft",neutral,yes
3,5G towers cause cancer,"5G technology is the latest mobile wireless communications technology, due to be rolled out in Australia from 2019.",neutral,no
4,humans share about 98% of DNA with chimpanzees,"DNA evidence suggests the bonobo and common chimpanzee species diverged approximately 890,000–860,000 years ago following separation of these two populations possibly because of acidification and the",neutral,yes
5,climate change is real,The scientific consensus is that they cannot explain the observed warming trend.,supporting,no
6,5G causes COVID,"The outbreak of COVID-19 has led to a reduction in a number of services and activities, but it has also accelerated the development of communication and connectivity technologies as well as touchless",neutral,yes
7,the earth revolves around the sun,"Poll: Sun Revolves Around the Earth
According to a July 1999 Gallop Poll, 18% of Americans still believe that the sun revolves around the earth.POLL RELEASES
New Poll Gauges Americans' General Knowled",neutral,yes
8,bats are blind,"In comic books, the superheroes have fascinating powers and abilities that help them to deal with all kinds of challenges that arise in their daily lives.",neutral,no
9,5G causes COVID,"Fake news around the dangers of 5G technology and its links to coronavirus have spread online and on social media, despite the lack of any scientific evidence.",opposing,no
10,smoking causes lung cancer,"Smoking cigarettes can kill you, but before you die, you could experience some pretty terrible diseases and health conditions from smoking.",neutral,no
11,goldfish have a three second memory,"When people picture goldfish, the first thing that usually comes to mind is the old saying that they can only remember things for three seconds.",neutral,no
12,Einstein failed math in school,"Now this was very advanced, because the students would normally study calculus when they were 15 years ol",opposing,yes
13,the average human body temperature is 98.6 degrees fahrenheit,"The 98.6°F standard is over 150 years old, and research shows average body temperature has since shifted.",opposing,no
14,Einstein failed math in school,- There is no evidence that iron maidens were used for tortur,neutral,yes
15,evolution is real,"Evolution is often thought of as the slow work of millennia upon millennia, subtly altering genomes as species slowly adapt to environmental changes or pressures generation after generation.",supporting,no
16,dogs can only see in black and white,"For most of your life, you have probably believed that dogs can’t see light yellow, because you’ve heard that they only see in black and white.",neutral,no
17,shaving makes hair grow back thicker,Shaving cream is a cosmetic preparation which is designed to soften facial and body,neutral,yes
18,honey never expires,"Legally, they have to tell you it won't be at its best after a while, and the expiry date is more for the store than the consumer.",supporting,no
19,the Amazon rainforest produces about 20% of the world's oxygen,"A persistent myth surrounding the Amazon rainforest, that it contributes a whopping 20% of the world’s oxygen, is a considerable overstatement.",opposing,no
20,5G causes COVID,"The same year, the University of Surrey founded the 5G Innovation Centre, funded by £",neutral,yes
21,climate change is real,"The Earth’s climate has always changed
Over the course of Earth’s 4.5-billion-year history, the climate has changed a lot, this is true.",supporting,no
22,lightning never strikes the same place twice,"This expression has entered common parlance, but from a scientific point of view, it is completely false.",opposing,no
23,goldfish have a three second memory,But a 15-year-old schoolboy from Adelaide has just debunked that theory.,opposing,no
24,the great wall of china is visible from space,"The walls were as tall as 2.75 metres (9 ft 0 in) at places when they were discovered, and may have been around 2 metres (6 ft",neutral,yes
25,smoking causes lung cancer,A strong relationship between cigarette smoke exposure and chronic obstructive pulmonary disease (COPD) as well as lung cancer has,supporting,yes
26,antibiotics do not work against viruses,Post-operative bacterial infections are a leading cause of mortality and morbidity after ongoing liver transplantation.,neutral,no
27,bats are blind,"Bats hunt in the dark using echolocation, meaning they use echoes of self-produced sounds bouncing off objects to help them navigate.",neutral,no
28,shaving makes hair grow back thicker,"In studying the effects of various physical and chemical treatments on hair growth after shaving, repeated shaving was in itself clearly shown to stimulate ...",neutral,no
29,the speed of light is constant,Abstract The possible time variation of the fundamental constants of nature has been an active subject of research since the large-number hypothesis was proposed by Dirac.,neutral,no
30,sugar makes children hyperactive,"Ask any parent returning from a birthday party with kids and they’ll swear that yes, of course, without doubt sugar makes their children hyperactive.",neutral,no
31,bulls are enraged by the color red,"For example:
It’s the motion of the cape in bullfighting, not the color, that enrage",opposing,yes
32,goldfish have a three second memory,"The prevalent myth that goldfish only have a three-second memory does goldfish a great disservice, says Ellen Husain.",opposing,no
33,sugar makes children hyperactive,"That might be hard to believe when you’ve watched a group of kids bounce off the walls at a birthday party, but decades of controlled research hav",neutral,yes
34,the sun is a star,"The Sun Is Also a Star
Directed by Ry Russo-Young
Screenplay by Tracy Oliver
Cinematography Autumn Durald
Music by Herdis Stefánsdóttir
Distributed by Warner Bros. Pictures
Release date
The Sun Is Als",neutral,yes
35,the Great Wall of China is the only man-made structure visible from space,Choose a legend: The Great Wall of China is the one of the few man-made structures visible from orbit.,opposing,no
36,bats are blind,"Spallanzani carried on his researches on the blind flight of bats mainly in Scandiano, in the summer of 1793 and 1794, thanks to the great number of Chiroptera (bats) in the Rocca basement and in the",neutral,yes
37,5G causes COVID,"Mobile network service use is growing, especially after the Covid-19 pandemic.",neutral,no
38,christopher columbus discovered america,"In 1837, Danish philologist Carl Christian Rafn published Antiquitates Americanæ, which introduced Americans to the Vinland sagas—medieval texts that suggest that Norse explorers “discovered” North Am",neutral,yes
39,lightning never strikes the same place twice,"July 28, 2015 - This eventually resulted in the discovery of ""dark matter,"" which is comprised of those previously struck places in spacetime.",neutral,no
40,bats are blind,New echolocator Echolocation is a well demonstrated convergent sensory mode in bats and toothed whales.,neutral,no
41,the sun is a star,"Beckles
Cover artist Khadijah Khatib
Series The Nico di Angelo Adventures
Publisher More publishers:
Publication date May 2, 2023 (English) More dates:
Media ty",neutral,yes
42,goldfish have a three second memory,"But unbeknownst to most, it's a belief that's entirely false.",opposing,no
43,goldfish have a 3 second memory,"In fact, goldfish actually have very good memories for fish.",opposing,no
44,bats are blind,This suggests that vision is still an important means of sensory perc,opposing,yes
45,the moon landing was faked,"What in the World
What in the World
Why some people claim the Moon landing was faked
Available for over a year
American astronauts Neil Armstrong and Buzz Aldrin landed on the Moon in 1969.",opposing,no
46,lightning never strikes the same place twice,"Automated fact-verification of the claim: ""Lightning never strikes the same place twice.""",neutral,no
47,Einstein failed math in school,"March 8, 2023 - Einstein's genius supposedly had at least one glaring flaw -- that he failed math at some point in his educational career.",neutral,no
48,the average human body temperature is 98.6 degrees fahrenheit,"Long thought to be 98.6 degrees Fahrenheit, the measurement is highly personal and varies depending on time of day, among other factors, new research",opposing,yes
49,Einstein failed math in school,"We might not have a solid grasp on what exactly E = mc² means or why it’s important, but anybody who successfully makes a ma",neutral,yes
50,bulls are enraged by the color red,"Because they lack the long-wavelength cone required to detect red light, they cannot perceive red in the",opposing,yes
51,octopuses have three hearts,Its hard to believe that an octopus has three hearts .,neutral,no
52,antibiotics do not work against viruses,In this case there are antibiotics that are used to co,neutral,yes
53,the Sahara desert is the largest desert on earth,"The Sahara is the largest and driest of the hot deserts on Earth, with regions where rainfall reaches the surface on average less than once a year.",supporting,no
54,antibiotics do not work against viruses,There is strong evidence for vaccinating children under the age of 2 against Streptoco,neutral,yes
