claim,sentence,llm_label,your_label
5G causes COVID,"The outbreak of COVID-19 has led to a reduction in a number of services and activities, but it has also accelerated the development of communication and connectivity technologies as well as touchless",neutral,
we only use 10% of our brains,Movies like “Limitless” and “Lucy” play on the notion t,neutral,
the Great Wall of China is the only man-made structure visible from space,"Category: Space Published: December 11, 2012
By: Christopher S. Baird, author of The Top 50 Science Questions with Surpr",neutral,
Einstein failed math in school,- There is no evidence that iron maidens were used for tortur,neutral,
humans share about 98% of DNA with chimpanzees,Technically I could argue that The Mona Lisa consists of 100% the same as a drawing I did when I was five.,neutral,
5G towers cause cancer,"A 2020 study that monitored data from Google Trends showed that searches related to coronavirus and 5G started at different times, but peaked in the same week of April 5 in six countries.",neutral,
the earth revolves around the sun,"Since the Moon is not tidally locked to the Sun, lunar daylight and night times both o",neutral,
the Amazon rainforest produces about 20% of the world's oxygen,"But what if I say, this is a pure misconception?",neutral,
video games cause violence,"One of the last mainstream light gun rail shooter franchises was The House of the Dead horror game series in the late 1990s, which along with Resident Evil had a significant cultural impact on zombie",neutral,
the moon landing was faked,The song gave its name to Miloš Forman's Kaufman biopic Man on,neutral,
5G towers cause cancer,CDMA and IDEN have no such limit defined by timing.,neutral,
the moon landing was faked,I was recently in two discussion about the moon landing and if it happened or not.,neutral,
MSG is dangerous to consume,"These crystals, when tasted, reproduced a flavor detected in many foods, especially seaweed.",neutral,
climate change is real,"Predicting climate impacts is challenging and has to date relied on indirect methods, notably modeling.",neutral,
the speed of light is constant,Is the speed of vacuum light constant under any circumstances?,neutral,
humans only use 10 percent of their brain,"Is there any truth to this claim, or is it just another accepted myth?",neutral,
the earth is flat,"Historically, belief in a flat Earth was prevalent among ancient civilizations, includin",neutral,
christopher columbus discovered america,"
 This article analyzes the history of the campaign for the canonization of Christopher Columbus in the nineteenth century, the reformulation of the models of sainthood and, more generally, discourses",neutral,
honey never expires,The National Honey Board says that over time honey may “darken and lose ...,neutral,
shaving makes hair grow back thicker,Herbal cosmetics have growing demand in the world market and are an invaluable gift of nature.,neutral,
video games cause violence,"In an era of technology, the most popular explanation for this viol",neutral,
MSG is dangerous to consume,"Monosodium glutamate is a sodium slat of the common amino acid, glutamic acid.",neutral,
the Sahara desert is the largest desert on earth,"With the new techniques and latest technology used to produce rainfall in areas that had dryer climates, there are often floods due to the urban infrastructure in those areas being insufficient for pr",neutral,
video games cause violence,Seventy-seven percent of people between ages 14 and 18 who took place in a survey reported that they play fighting or shooting games sixty-seven percent of the total time that they play games.,neutral,
5G towers cause cancer,- The IARC Group 2B 'possibly carcinogenic' classification applies to,neutral,
shaving makes hair grow back thicker,"You can consult a dermatologist about other hair removal options, including waxing or laser hair removal.",neutral,
christopher columbus discovered america,"Christopher Columbus's journal
Christopher Columbus's journal
Present location Unknown, presumed lost
Christopher Columbus's journal (Diario) is a diary and logbook written by Christopher Columbus abo",neutral,
shaving makes hair grow back thicker,From Mayo Clinic to your inbox Sign up for free and stay up to da,neutral,
violent video games cause real world violence,This study highlights the psychological benefits of engaging with morally co,neutral,
honey never expires,"Their first EP, Thrift Shop, was recorded in a bathroom on a four-track tape-deck, and included a cover of the Karen Pe",neutral,
