claim,category,source_title,source_type,expected_stance,sent_index,text,word_count,label,confidence,p_supp,p_neut,p_opp,mismatch_type,is_hard_mismatch,prev_label,next_label,has_negation,has_quotes,has_hedge,has_myth_cue,claim_has_negation
cracking your knuckles causes arthritis,factual_false,Does cracking your knuckles cause arthritis? | Arthritis UK,web,opposing,12,"In one study, published in 1990, of 300 patients of similar age with no evidence of arthritis, knuckle crackers were more likely to have hand swelling and a weaker grip.",30,neutral,0.5977,0.0116,0.5977,0.3906,neut_in_opp_source,False,neutral,neutral,True,False,True,False,False
vaccines cause autism,factual_false,Do vaccines cause autism? | Autism Speaks,web,opposing,4,"This study has been widely discredited, and later large-scale studies have disproven its claims, finding no link between the MMR vaccine and autism.",23,neutral,0.6289,0.0039,0.6289,0.3669,neut_in_opp_source,False,neutral,neutral,True,False,True,False,False
vaccines cause autism,factual_false,Thiomersal and vaccines,encyclopedia,opposing,11,These reviews determined that no evidence exists to establish thiomersal as the cause of autism or other neurodevelopmental disorders.,19,neutral,0.6953,0.0016,0.6953,0.3032,neut_in_opp_source,False,neutral,neutral,True,False,True,False,False
the Great Wall of China is the only man-made structure visible from space,factual_false,Can you see the Great Wall of China from space?,web,opposing,10,It was during the Apollo missions that the myth of being able to see the Great Wall of China from the surface of the Moon was empirically debunked.,28,neutral,0.7153,0.0018,0.7153,0.283,neut_in_opp_source,False,opposing,neutral,False,False,True,False,False
5G towers cause cancer,factual_false,Does 5G Mobile Network Cause Cancer? Myths and Facts - OncoD,web,opposing,9,"Myth: 5G Weakens the Immune System
The claim that 5G weakens the immune system is not supported by scientific evidence.",20,neutral,0.7383,0.0016,0.7383,0.2603,neut_in_opp_source,False,opposing,opposing,True,False,True,True,False
5G causes COVID,factual_false,Coronavirus: 5G and microchip conspiracies around the world ,web,opposing,13,"It shows fact-checkers in at least 14 countries have debunked local versions of the microchip theory, including in Greece, Kazakhstan, the Philippines and Mexico.",24,neutral,0.7456,0.0013,0.7456,0.2532,neut_in_opp_source,False,opposing,neutral,False,False,True,False,False
vaccines cause autism,factual_false,Autism and Vaccines | Vaccine Safety | CDC,web,opposing,9,"After reviewing the study, AHRQ determined that there was insufficient evidence of an association of the HepB vaccine and autism.",20,neutral,0.8037,0.0049,0.8037,0.1914,neut_in_opp_source,False,neutral,neutral,False,False,True,False,False
drinking bleach cures diseases,factual_false,Controversial Church Believes Drinking Bleach Cures All Dise,web,opposing,0,"FDA: ""Beware of False Claims""
And yet, as totally believable as that claim sounds, the FDA says otherwise.",18,neutral,0.8345,0.002,0.8345,0.1633,neut_in_opp_source,False,,opposing,False,True,True,False,False
humans only use 10 percent of their brain,factual_false,How much of our brain do we actually use? Brain facts and my,web,opposing,6,"The 10 percent myth was also debunked in a
One common brain imaging technique, called functional magnetic resonance imaging (fMRI), can measure activity in the brain while a person is performing diffe",33,neutral,0.8467,0.0092,0.8467,0.1439,neut_in_opp_source,False,opposing,neutral,False,False,True,False,False
goldfish have a three second memory,factual_false,Goldfish three-second memory myth busted - ABC News,web,opposing,0,But a 15-year-old schoolboy from Adelaide has just debunked that theory.,11,neutral,0.8774,0.0036,0.8774,0.1191,neut_in_opp_source,False,,neutral,False,False,True,False,False
drinking bleach cures diseases,factual_false,Tooth whitening,encyclopedia,opposing,12,"However, the International Agency of Research on Cancer (IARC) has concluded that there is insufficient evidence to prove that hydrogen peroxide is a carcinogen to humans.",26,neutral,0.8862,0.0022,0.8862,0.1113,neut_in_opp_source,False,opposing,neutral,False,False,True,False,False
vaccines cause autism,factual_false,Causes of autism,encyclopedia,opposing,1,The refrigerator mother theory has been conclusively refuted by scientific evidence.,11,neutral,0.894,0.0032,0.894,0.103,neut_in_opp_source,False,neutral,opposing,False,False,True,False,False
lightning never strikes the same place twice,factual_false,Lightning,encyclopedia,opposing,8,"No evidence was found until 2001-2002, when researchers at the New Mexico Institute of Mining and Technology detected X-ray emissions from an induced lightning strike along a grounded wire trailed beh",38,neutral,0.9043,0.0016,0.9043,0.094,neut_in_opp_source,False,neutral,neutral,True,False,True,False,True
5G towers cause cancer,factual_false,5G Technology: Why Should We Expect a shift from RF-Induced ,web,opposing,6,Major shortcomings of the reports claiming no link between exposure to RF-EMF and brain cancer have been already addressed [3-6].,20,neutral,0.9316,0.0037,0.9316,0.0646,neut_in_opp_source,False,opposing,neutral,True,False,True,False,False
drinking bleach cures diseases,factual_false,fortune.com/well/2023/02/02/drinking-bleach-can-be-deadly-bu,web,opposing,0,"The idea was swiftly debunked, but existing sellers seized on the global attention, catapulting a fringe operation into a big business where sellers on mainstream shopping sites like Amazon, Etsy, eBa",37,neutral,0.9385,0.0028,0.9385,0.0586,neut_in_opp_source,False,,neutral,False,False,True,False,False
the earth is flat,factual_false,Flat Earth,encyclopedia,opposing,0,"He did not admit the possibility of antipodes, which he took to mean people dwelling on the opposite side of the Earth, considering them legendary and noting that there was no evidence for their exist",35,neutral,0.939,0.0035,0.939,0.0575,neut_in_opp_source,False,,neutral,True,False,True,True,False
Einstein failed math in school,factual_false,List of common misconceptions about history,encyclopedia,opposing,1,"- There is no evidence that iron maidens were used for torture, or even yet invented, in the Middle Ages.",20,neutral,0.9346,0.0078,0.9346,0.0574,neut_in_opp_source,False,neutral,neutral,True,False,True,False,False
the Great Wall of China is visible from space,factual_false,Artificial structures visible from space,encyclopedia,opposing,9,"Misconceptions
[edit] The Great Wall of China
[edit] The claim that the Great Wall of China is the only man-made object visible from the Moon or outer space has been debunked many times, but remains a",41,neutral,0.4805,0.4783,0.4805,0.0413,neut_in_opp_source,False,neutral,neutral,False,False,True,True,False
vaccines cause autism,factual_false,Vaccines and autism,encyclopedia,opposing,13,"Public opinion
In December 2020 a poll of 1,115 adults in the United States found 12% of respondents believed there is evidence vaccinations cause autism; 51% believed there is no evidence; and 37% di",36,neutral,0.9229,0.0403,0.9229,0.0369,neut_in_opp_source,False,neutral,,True,False,True,False,False
vaccines cause autism,factual_false,MMR vaccine and autism,encyclopedia,opposing,9,A 2009 review of studies on links between vaccines and autism discussed the MMR vaccine controversy as one of three main hypotheses that epidemiological and biological studies failed to support.,30,neutral,0.9692,0.0063,0.9692,0.0244,neut_in_opp_source,False,neutral,opposing,False,False,True,False,False
shaving makes hair grow back thicker,factual_false,Hair removal,encyclopedia,opposing,13,"A 2006 meta-analysis of randomized controlled trials found that alexandrite and diode lasers caused 50% hair reduction for up to 6 months, while there was no evidence of hair reduction from intense pu",38,neutral,0.9756,0.0022,0.9756,0.0221,neut_in_opp_source,False,neutral,,True,False,True,False,False
the moon landing was faked,factual_false,"Was the Moon Landing Fake? | Debunked Theories, Proof We Wen",web,opposing,17,"Such a film would have to be edited together, and there is no evidence of that (or film artifacts such as scratches) in the Apollo 11 footage.",27,neutral,0.9229,0.0563,0.9229,0.0207,neut_in_opp_source,False,neutral,,True,False,True,False,False
lemmings commit mass suicide,factual_false,Do Lemmings Really Commit Mass Suicide? - Strange Writer,web,opposing,10,"The Impact of the Lemming Myth on Conservation and Education
The delusion of lemming suicide even though now debunked, has had long-lasting results on how people understand these animals.",29,neutral,0.9736,0.0074,0.9736,0.019,neut_in_opp_source,False,neutral,neutral,False,False,True,False,False
