id,claim,sentence,gold,old,llm_label
4,artificial intelligence will benefit society more than it harms it,The biggest gains appeared among students who were struggling the most.,supporting,supporting,neutral
6,dogs can only see in black and white,Colors are more muted for our canine companions than what we see.,neutral,neutral,opposing
7,cryptocurrency is a good long-term investment,"Economic analysis of these market cycles suggests that cryptocurrency price dynamics are characteristic of speculative bubbles, driven more by market sentiment than by traditional economic fundamentals.",neutral,opposing,opposing
12,einstein failed math in school,"Einstein applied himself and later passed the entrance exam, earning a place at the prestigious school in Zurich.",neutral,opposing,opposing
18,the big bang was an explosion that happened at a single point in space,"Before Time and Space - The Big Bang (National Geographic)
No explosion beats the Big Bang -- even if it was completely silent.",neutral,supporting,supporting
22,penguins live almost entirely in the southern hemisphere,"Penguins and polar bears
[edit] Despite what commercials and other popular sources may show, penguins and polar bears are found on opposite hemispheres.",neutral,supporting,supporting
25,ai will replace most jobs,"Still, he said, not every job is destined for extinction.",neutral,opposing,opposing
30,spiders are arachnids rather than insects,"Arachnids sit in Class Arachnida, home to about 120,000 described species, from spiders to scorpions.",neutral,supporting,supporting
34,"the tongue has separate zones for tasting sweet, sour, salty, and bitter",Later research has revealed that taste bud seems to contain 50 to 100 receptors for each taste.,neutral,opposing,opposing
37,spiders are arachnids rather than insects,"And how often, in mass media, we read or hear a phrase like ""spiders prey on other insects!""",neutral,opposing,opposing
38,msg is dangerous to consume,"With one third the amount of sodium as table salt, she says MSG can reduce sodium content in snack food.",neutral,opposing,opposing
45,ai will replace most jobs,"Freethink says that 65% of retail jobs could be automated by that year, saying that this is largely due to technological advancements, rising costs and wages, tight labor markets, and reduced consumer spending.",neutral,supporting,supporting
51,banning smartphones in schools improves educational outcomes,"In schools where cell phones are banned, students are more likely to engage with one another during breaks and lunchtime, fostering interpersonal skills.",supporting,supporting,neutral
53,climate change is caused by human activity,Other greenhouse gases are emitted by human activities in smaller quantities.,neutral,supporting,supporting
66,the coriolis effect determines which way water drains in a sink,"The spiral motion is generated by angular momentum already present in the water, often too subtle to notice before the drain is opened.",neutral,opposing,opposing
70,sugar makes children hyperactive,"From the first camp of research, a
Looking for longer-term effects, a systematic review and meta-analysis published in the Journal of Affective Disorders in 2019 assessed “evidence of the association between dietary patterns and ADHD.” The authors concluded that “a diet high in refined sugar and saturated fat can increase the risk” of ADHD and that a diet heavy in fruit and vegetables is protective.",neutral,supporting,supporting
75,the sun is a star,"Because it is so close, we can learn more about other stars just by studying its activity and properties.",supporting,supporting,neutral
76,electric cars are better for the environment than gasoline cars,"To illustrate how EVs create fewer emissions than their counterparts, Paltsev points to MIT’s Insights Into Future Mobility study from 2019.4 This study looked at comparable vehicles like the Toyota Camry and Honda Clarity across their gasoline, hybrid, plug-in hybrid, battery electric, and hydrogen fuel cell configurations.",neutral,supporting,supporting
78,diamonds are made of carbon,"The way the carbon atoms are arranged in space, however, is different for the three materials, making them allotropes of carbon.",neutral,supporting,supporting
90,you lose most body heat through your head,The head only represents about 10% of the body's total surface area.,neutral,opposing,opposing
95,streaming services have benefited musicians financially,"This shift significantly impacted album sales, as the convenience and affordability of streaming services led to a decline in physical and digital sales.",opposing,opposing,neutral
109,cats are better pets than dogs,"Cats are cheap to maintain and buy than dogs
It is obvious that cats are less expensive than dogs.",neutral,supporting,supporting
117,humans only use 10 percent of their brain,"The myth's durability, Gordon says, stems from people's conceptions about their own brains: they see their own shortcomings as evidence of the existence of untapped gray matter.",neutral,opposing,opposing
125,the big bang was an explosion that happened at a single point in space,"But what's amazing is that in the entire universe, nothing is more powerful than the colossal explosion that created it all: The Big Bang.",neutral,supporting,supporting
130,one dog year is equivalent to seven human years,"However, as time passes, the rate of ageing in dogs, compared with humans, slows down.",neutral,opposing,opposing
138,the speed of light is constant,"Since such misalignment had not been observed, Descartes concluded the speed of light was infinite.",neutral,opposing,opposing
145,antibiotics do not work against viruses,"Antibiotics do not work on viruses, such as those that cause colds, flu, bronchitis, or runny noses, even if the mucus is thick, yellow, or green.",opposing,supporting,supporting
146,humans only have five senses,"While sight, smell, taste and hearing are rather straightforward senses, without much flexibility or vagueness to them, touch is a very different story, and actually encompasses many other senses that are entirely different systems.",neutral,opposing,opposing
