id,claim,sentence,gold,old,llm_label,fallback
0,one dog year is equivalent to seven human years,A one year old Great Dane will look and live like a geriatric compared to a one year old Chihuahua.,neutral,opposing,neutral,0
1,global sea levels have risen over the past century,Sea level continues to rise at a rate of about one-eighth of an inch per year.,supporting,supporting,supporting,0
2,bananas are botanically classified as berries,"Bananas are considered berries, and calling them either fruits or berries is accurate.",supporting,supporting,supporting,0
3,water boils at 100 degrees celsius,Older definitions of the Celsius temperature scale once defined the boiling point of water under one standard atmosphere as being precisely 100 °C.,supporting,supporting,supporting,0
4,artificial intelligence will benefit society more than it harms it,The biggest gains appeared among students who were struggling the most.,supporting,supporting,neutral,0
5,bulls are enraged by the color red,"According to the book ""Improving Animal Welfare"" by Temple Grandin, cattle lack the red retina receptor and can only see yellow, green, blue, and violet colors.",opposing,opposing,opposing,0
6,dogs can only see in black and white,Colors are more muted for our canine companions than what we see.,neutral,neutral,opposing,0
7,cryptocurrency is a good long-term investment,"Economic analysis of these market cycles suggests that cryptocurrency price dynamics are characteristic of speculative bubbles, driven more by market sentiment than by traditional economic fundamentals.",neutral,opposing,opposing,0
8,whales are mammals rather than fish,"Whales do not have gills
Because whales breath through blowholes and lungs, they do not have gills.",neutral,supporting,neutral,0
9,cracking your knuckles causes arthritis,"June 8, 2020 - Shaina HuntsberryAnxiety, restlessness or just pure pleasure — there are lots of reasons why many find comfort in cracking their knuckles.",neutral,neutral,neutral,0
10,organic food is healthier than conventional food,A 2012 meta-analysis determined that detectable pesticide residues were found in 7% of organic produce samples and 38% of conventional produce samples.,neutral,supporting,neutral,0
11,the earth's inner core is roughly as hot as the surface of the sun,"Finally, there are “geomagnetic excursions:” shorter-lived but significant changes to the intensity of the magnetic field that last from a few centuries to a few tens of thousands of years.",neutral,neutral,neutral,0
12,einstein failed math in school,"Einstein applied himself and later passed the entrance exam, earning a place at the prestigious school in Zurich.",neutral,opposing,opposing,0
13,climate change is caused by human activity,"These include:
- more people being exposed to extreme heat
- higher sea levels as glaciers and ice-sheets melt
- increased risks to food security in some regions due to more extreme weather
- greater chances of some climate-sensitive diseases spreading, such as dengue
- more species being threatened with extinction
- the loss of virtually all coral reefs
The call to restrict temperature rise to 1.5C was partly designed to avoid crossing so-called ""tipping points"".",neutral,neutral,neutral,0
14,vikings wore horned helmets in battle,"The team finished with a 3–13 record, tied with the 1984 Vikings for the second-worst record in franchise history.",neutral,neutral,neutral,0
15,honeybees communicate the location of food through a waggle dance,"""Apis florea in Europe: first report of the dwarfhoney bee in Malta"".",neutral,neutral,neutral,0
16,goldfish have a three second memory,"Research has shown they are capable of operant conditioning (learning through consequences), spatial navigation, and even recognizing their owners.",opposing,opposing,opposing,0
17,shaving makes hair grow back thicker,[edit] Androgenic hair provides tactile sensory input by transferring hair movement and vibration via the shaft to sensory nerves within the skin.,neutral,neutral,neutral,0
18,the big bang was an explosion that happened at a single point in space,"Before Time and Space - The Big Bang (National Geographic)
No explosion beats the Big Bang -- even if it was completely silent.",neutral,supporting,supporting,0
19,universal basic income reduces poverty,"Setting a universal basic income at current benefit levels would be most likely to reduce poverty, mainly because take-up of a basic income is likely to be higher than for current means-tested benefits.",supporting,supporting,supporting,0
20,whales are mammals rather than fish,"This, along with the shape of the flippers, allows the whales to make the abrupt turns necessary during bubble-feeding.",neutral,neutral,neutral,0
21,napoleon bonaparte was unusually short for his era,Here's the kicker: studies trying to prove the Napoleon Complex actually exists have largely failed.,neutral,neutral,neutral,0
22,penguins live almost entirely in the southern hemisphere,"Penguins and polar bears
[edit] Despite what commercials and other popular sources may show, penguins and polar bears are found on opposite hemispheres.",neutral,supporting,supporting,0
23,artificial intelligence will benefit society more than it harms it,Mainstream AI researchers have given a wide range of opinions on whether progress will be this rapid.,neutral,neutral,neutral,0
24,glass is actually a slow-flowing liquid,"To reach equilibrium, the glass would need to ""relax"" back toward a liquid state.",neutral,supporting,neutral,0
25,ai will replace most jobs,"Still, he said, not every job is destined for extinction.",neutral,opposing,opposing,0
26,democracy is the best form of government,The political potential of sortition a study of the random selection of citizens for public office.,neutral,neutral,neutral,0
27,a full moon causes a measurable rise in crime and erratic behavior,"For example, a study published in the Journal of Criminal Law and Criminology analyzed crime data over several years and found a modest increase in violent crimes during the full moon 1.",supporting,supporting,supporting,0
28,climate change is real,"""Pensacola climate change task force meets to curb local global warming impact"".",neutral,supporting,neutral,0
29,keeping animals in zoos is ethical,• Zoos and other animal use organisations should not make claims unjustified by measured impact.,neutral,opposing,neutral,0
30,spiders are arachnids rather than insects,"Arachnids sit in Class Arachnida, home to about 120,000 described species, from spiders to scorpions.",neutral,supporting,supporting,0
31,renewable energy can fully replace fossil fuels,The combination of technologies offers several advantages: the yield of biofuel nearly doubles by using bio-CO2 compared to bio-CH4 alone.,neutral,supporting,neutral,0
32,hair and fingernails continue to grow after death,"In All Quiet on the Western Front, the author describes a friend’s fingernails growing in corkscrews after the burial.w22 Johnny Carson even perpetuated this myth with his joke, “For three days after death hair and fingernails continue to grow, but phone calls taper off.”w23 To quote the expert opinion of forensic anthropologist William Maples, “It is a powerful, disturbing image, but it is pure moonshine.",opposing,opposing,opposing,0
33,working from home improves work-life balance,"Additionally, a 2012 study found that social isolation has been associated with decreased motivation.",neutral,opposing,neutral,0
34,"the tongue has separate zones for tasting sweet, sour, salty, and bitter",Later research has revealed that taste bud seems to contain 50 to 100 receptors for each taste.,neutral,opposing,opposing,0
35,octopuses have blue blood,"Since their blue blood is copper-based (hemocyanin) and not an efficient oxygen carrier, octopuses favor and move toward cooler, oxygen-rich water.",supporting,supporting,supporting,0
36,people swallow several spiders a year while sleeping,"In the 1990s, a columnist writing about how easily false facts spread included the “eight spiders a year” claim as an example of how myths can travel quickly when repeated without evidence.",opposing,opposing,opposing,0
37,spiders are arachnids rather than insects,"And how often, in mass media, we read or hear a phrase like ""spiders prey on other insects!""",neutral,opposing,opposing,0
38,msg is dangerous to consume,"With one third the amount of sodium as table salt, she says MSG can reduce sodium content in snack food.",neutral,opposing,opposing,0
39,the blood in human veins is blue,This continual chemical and color change allows forensic scientists to determine the time a blood drop was left at a crime scene.,neutral,neutral,neutral,0
40,penguins live almost entirely in the southern hemisphere,"Both species can be found inland near lakes and rivers, however gulls have adapted well to human presence and can often be found in urban centers.",neutral,neutral,neutral,0
41,climate change is caused by human activity,"Anthropogenic sulphate is the main element that influences atmospheric conditions through its direct and indirect effects, which delay global warming by increasing the albedo and the lifetime of clouds formed by water droplets.",neutral,supporting,neutral,0
42,daylight saving time should be abolished,"The islands have never been part of the EU, so the decision to observe summer time was its own.",neutral,neutral,neutral,0
43,the moon landing was faked,Cosmonaut Alexei Leonov later described listening to the Moon landing live.,neutral,opposing,neutral,0
44,humans only have five senses,"Ultimately, they saw brain activity in the participants that resembled our response to other stimuli, like sight and sound.",neutral,opposing,neutral,0
45,ai will replace most jobs,"Freethink says that 65% of retail jobs could be automated by that year, saying that this is largely due to technological advancements, rising costs and wages, tight labor markets, and reduced consumer spending.",neutral,supporting,supporting,0
46,vikings wore horned helmets in battle,"We are also familiar with them from the Icelandic sagas, in which they are amongst the most feared of all Vikings.",neutral,neutral,neutral,0
47,vikings wore horned helmets in battle,These visual associations were strong enough to overwhelm the lack of archaeological evidence for such things ever being used by the Vikings in real life.,opposing,opposing,opposing,0
48,venus is the hottest planet in the solar system,"Until the mid-20th century, scientists thought that Venus was a verdant world—inspiring science-fictional stories of heroes battling megafauna in sprawling jungles.",neutral,neutral,neutral,0
49,the amazon rainforest produces about 20% of the world's oxygen,"THE QUESTION:
Does the Amazon forest really produce 20 percent of the world’s oxygen supply?",neutral,neutral,neutral,0
50,photosynthesis releases oxygen as a byproduct,"Significance Anoxygenic photosynthesis by phototrophic sulfur bacteria is prevalent in microbial mat ecosystems and in restricted, highly stratified aquatic environments.",neutral,opposing,neutral,1
51,banning smartphones in schools improves educational outcomes,"In schools where cell phones are banned, students are more likely to engage with one another during breaks and lunchtime, fostering interpersonal skills.",supporting,supporting,neutral,0
52,the earth revolves around the sun,"This force acts universally, from the smallest particles to the largest galaxies.",neutral,neutral,neutral,0
53,climate change is caused by human activity,Other greenhouse gases are emitted by human activities in smaller quantities.,neutral,supporting,supporting,0
54,tipping should be abolished in restaurants,"On your list of headaches, tipping should not be one of them.",neutral,neutral,neutral,0
55,sharks existed before trees did,The first trees are believed to have evolved around 375 million years ago during the Devonian Period.,neutral,supporting,neutral,0
56,keeping animals in zoos is ethical,"He passed his photographs to the police, who raided the lab and arrested Taub.",neutral,opposing,neutral,0
57,sugar is worse than fat for health,"They can cause inflammation, lead to clogged arteries and more, but they are also very common in a variety of fried foods, fast foods, and baked goods.",neutral,opposing,neutral,0
58,the earth's inner core is roughly as hot as the surface of the sun,"The Center of the Earth Is as Hot as the Sun
1,800 degrees warmer than we previously thought, the Earth’s core is super hot
Crushed by the weight of the thousands of kilometers of liquid iron and sulfur, superheated metal and minerals and cool crustal rock above, the Earth’s core is under immense pressure.",supporting,supporting,supporting,0
59,self-driving cars are safer than human drivers,"The driver assistance system continues to gain in popularity as its benefits have been studied and communicated widely: according to research, the ADAS system including emergency braking, lane keeping assistance, and blind-spot warning system, if all vehicles had been equipped with the system, it would have had prevented 40% of all passenger-vehicle crashes.",neutral,supporting,neutral,0
60,renewable energy can fully replace fossil fuels,"However, since the 2008 financial crisis, many economies are still exploring diverse energy development models for economic growth, and the integration of renewable energy is seen as a necessity for sustained economic development.",neutral,opposing,neutral,0
61,cities should make public transit free,"Years ago, Alex Steffen wrote: There is a direct relationship between the kinds of places we live, the transportation choices we have, and how much we drive.",neutral,neutral,neutral,0
62,smoking causes lung cancer,"FINDINGS
The findings reveal a significant increase in comorbidities among lung cancer patients over time, while this increase was less significant in the comparison cohort.",neutral,neutral,neutral,0
