claim,pattern,expected,predicted,confidence,correct,source_preview
the Bermuda Triangle causes ships to disappear,reporting_frame,neutral,neutral,0.8169,True,The notion that the Bermuda Triangle causes ships to disappear has persisted in 
cracking your knuckles causes arthritis,reporting_frame,neutral,neutral,0.9067,True,The widely held belief that cracking your knuckles causes arthritis has been a s
humans swallow eight spiders per year in their sle,reporting_frame,neutral,supporting,0.5503,False,The popular idea that humans swallow eight spiders per year in their sleep has b
Napoleon was short,reporting_frame,neutral,neutral,0.7109,True,The common perception that Napoleon Bonaparte was unusually short has been refer
bulls are enraged by the color red,reporting_frame,neutral,neutral,0.5669,True,The longstanding belief that bulls are enraged by the color red has shaped tradi
bats are blind,reporting_frame,neutral,neutral,0.9146,True,The widespread notion that bats are completely blind has made them a symbol of p
breakfast is the most important meal of the day,reporting_frame,neutral,neutral,0.9189,True,The prevailing assumption that breakfast is the most important meal of the day h
lightning never strikes the same place twice,reporting_frame,neutral,supporting,0.6221,False,The popular conception that lightning never strikes the same place twice is freq
you lose most body heat through your head,reporting_frame,opposing,opposing,0.9927,True,The myth that you lose most of your body heat through your head has been thoroug
chameleons change color to match their surrounding,reporting_frame,opposing,opposing,0.9917,True,The common misconception that chameleons change color to match their surrounding
Einstein failed math in school,reporting_frame,opposing,opposing,0.9746,True,The persistent myth that Einstein failed mathematics in school is contradicted b
Vikings wore horned helmets,reporting_frame,opposing,opposing,0.7358,True,The widespread misconception that Vikings wore horned helmets has no archaeologi
touching a baby bird makes its mother abandon it,reporting_frame,opposing,opposing,0.9883,True,The popular myth that touching a baby bird will cause its mother to abandon it h
shaving makes hair grow back thicker,reporting_frame,opposing,opposing,0.978,True,The enduring myth that shaving causes hair to grow back thicker and darker has b
dogs can only see in black and white,reporting_frame,opposing,opposing,0.9902,True,The misconception that dogs can only see in black and white was overturned when 
ostriches bury their heads in the sand,reporting_frame,opposing,opposing,0.9858,True,The common myth that ostriches bury their heads in the sand when frightened is n
coffee stunts your growth,reporting_frame,opposing,opposing,0.9858,True,The old wives' tale that coffee stunts children's growth has no scientific suppo
daddy longlegs are the most venomous spiders,reporting_frame,opposing,opposing,0.9966,True,The widely repeated myth that daddy longlegs are the most venomous spiders in th
lemmings commit mass suicide,reporting_frame,opposing,supporting,0.6421,False,Lemmings throw themselves off cliffs in mass suicide events. This is one of the 
you need to wait 24 hours to report a missing pers,reporting_frame,opposing,opposing,0.9878,True,You need to wait 24 hours before filing a missing person report. This widespread
